City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
CIDREIRA,BR,-44.71957804083096,-31.219800282776088,65.34,62.0,81.0,13.15,26/04/2021
CABO SAN LUCAS,MX,17.611676771086447,-115.89090671910233,75.0,40.0,90.0,11.5,26/04/2021
KEMIJARVI,FI,66.0771327772069,27.797044874513176,23.99,90.0,82.0,8.93,26/04/2021
CHOKURDAKH,RU,74.55734740650911,147.00292103600583,30.31,97.0,100.0,11.88,26/04/2021
PRAIA DA VITORIA,PT,44.93219019390576,-24.2438284604523,59.0,88.0,40.0,10.54,26/04/2021
KAPAA,US,37.68830249573342,-177.42480926141587,77.0,73.0,1.0,13.8,26/04/2021
ISLA VISTA,US,31.01487469195653,-120.95691418934953,54.0,94.0,90.0,11.5,26/04/2021
MAHEBOURG,MU,-47.66485707451745,75.48682041085557,77.0,88.0,75.0,14.97,26/04/2021
KLAKSVIK,FO,64.46823497267852,-6.949295736850858,42.8,100.0,100.0,19.57,26/04/2021
TIGRE,PA,10.950228260988226,-77.92661684612001,62.01,88.0,0.0,4.61,26/04/2021
KIBAYA,TZ,-5.282911985845229,36.80412441529566,59.61,94.0,100.0,3.31,26/04/2021
CHARLESTOWN,KN,16.341745414410124,-63.43032323610605,73.0,70.0,16.0,4.63,26/04/2021
ALBANY,AU,-52.47982733923256,119.06382493470684,46.0,50.0,38.0,1.01,26/04/2021
YELLOWKNIFE,CA,83.95599799977195,-97.91261193145463,8.6,78.0,90.0,11.5,26/04/2021
ZHUHAI,CN,20.09598143998724,113.84129332602353,77.0,78.0,40.0,18.41,26/04/2021
REVDA,RU,68.31779317954822,34.64401833473254,37.4,87.0,0.0,8.95,26/04/2021
UGOOFAARU,MV,5.717965840857852,65.3699463813642,83.53,71.0,5.0,3.56,26/04/2021
NAPIER,NZ,-39.239895154948414,177.0091618859757,66.99,40.0,57.0,8.99,26/04/2021
FERME-NEUVE,CA,47.52799716230999,-75.6163786128421,30.2,59.0,100.0,16.11,26/04/2021
ILULISSAT,GL,85.72869778790827,-41.024222583154724,46.4,46.0,75.0,24.16,26/04/2021
BARROW,US,81.48638156768322,-158.033742224916,21.2,79.0,1.0,14.97,26/04/2021
VAINI,TO,-80.24863081207975,-169.81849779064112,80.6,83.0,40.0,5.75,26/04/2021
FAANUI,PF,-2.214158734379834,-155.07092833647334,81.55,63.0,18.0,2.42,26/04/2021
NARSAQ,GL,78.79554500286187,-61.57507566520777,50.0,32.0,75.0,31.07,26/04/2021
CASTRO,CL,-57.54687788705725,-108.6187908892247,56.16,95.0,98.0,2.91,26/04/2021
GUIYANG,CN,26.946632279260296,106.89711280538677,55.4,88.0,75.0,4.47,26/04/2021
PEMANGKAT,ID,1.7533464052003733,106.85952179623747,85.78,65.0,5.0,1.12,26/04/2021
VILA VELHA,BR,-22.77621658591975,-33.6468243155585,77.0,83.0,0.0,3.44,26/04/2021
BALASSAGYARMAT,HU,48.07354978544483,19.273985775010626,34.48,62.0,3.0,3.85,26/04/2021
LORENGAU,PG,3.450089158021763,149.47482230632295,85.5,66.0,90.0,3.44,26/04/2021
ASAU,TV,-14.036560227911787,176.2029615767537,37.99,65.0,57.0,1.23,26/04/2021
RIYADH,SA,23.19791505454504,44.30166107245122,80.6,12.0,0.0,5.75,26/04/2021
MACKAY,AU,-20.546787108219533,150.58588910422347,78.8,61.0,40.0,18.41,26/04/2021
JAPURA,BR,-1.2237462358896445,-71.96157945149,85.01,71.0,36.0,3.47,26/04/2021
CALAMA,CL,-23.10266436878531,-67.40502812564675,44.6,36.0,0.0,12.66,26/04/2021
PORT ALFRED,ZA,-70.23593397211792,44.18213477389206,71.47,45.0,91.0,9.46,26/04/2021
BUTARITARI,KI,8.580528412095035,171.45431196587936,83.21,73.0,17.0,11.56,26/04/2021
PORT BLAIR,IN,11.737938844415574,92.15551163458902,84.2,84.0,40.0,2.3,26/04/2021
LUDERITZ,NA,-30.4552431679856,6.845025638672664,61.65,90.0,95.0,3.8,26/04/2021
OISTINS,BB,11.489895894045333,-57.1089106857773,78.8,61.0,40.0,16.11,26/04/2021
OLA,RU,57.03298213072349,152.5782765448551,24.64,55.0,13.0,2.91,26/04/2021
KRALENDIJK,AN,12.57966182560838,-67.29499743208594,78.8,83.0,12.0,12.66,26/04/2021
ARRAIAL DO CABO,BR,-36.62617779250271,-29.655274207776404,74.05,86.0,66.0,8.75,26/04/2021
NAQADEH,IR,37.0632142745306,45.442371939257,62.78,40.0,100.0,3.22,26/04/2021
AMBILOBE,MG,-11.377878522902218,50.88484733722402,70.41,86.0,88.0,3.27,26/04/2021
AVARUA,CK,-37.7908994961612,-163.9806672167271,82.4,74.0,20.0,9.22,26/04/2021
PUERTO AYORA,EC,-20.90095492040693,-103.54257223240258,75.11,85.0,6.0,6.71,26/04/2021
TOUROS,BR,0.8358882683741742,-26.555414486917893,75.2,94.0,20.0,4.61,26/04/2021
AKLAVIK,CA,80.54527883447491,-141.63780214113646,14.0,79.0,75.0,10.36,26/04/2021
ARIPUANA,BR,-9.723364573966442,-60.90539887798745,72.16,98.0,100.0,3.71,26/04/2021
SAINT-PIERRE,PM,45.519939484427816,-56.110942992158556,77.0,65.0,0.0,13.8,26/04/2021
HOVD,MN,44.63515840963753,103.78807384527772,35.11,20.0,0.0,1.21,26/04/2021
BLUFF,NZ,-63.09010688364931,164.32204239592326,48.0,72.0,87.0,20.0,26/04/2021
BLAGOYEVO,RU,63.462107444378155,46.559087759266916,39.51,91.0,100.0,4.94,26/04/2021
LEXINGTON,US,41.43623011782315,-99.96822135303974,48.2,81.0,1.0,6.4,26/04/2021
PEVEK,RU,83.99711827418018,171.24981468302505,25.27,85.0,99.0,1.5,26/04/2021
NACALA,MZ,-13.886395020185027,41.30852309183146,72.01,96.0,89.0,5.79,26/04/2021
SALALAH,OM,17.726602527420678,52.08427992700189,82.4,69.0,40.0,1.14,26/04/2021
BATHSHEBA,BB,16.351017057381302,-55.190599289923185,78.8,61.0,40.0,16.11,26/04/2021
TIKSI,RU,74.43618454459808,123.5932705545063,27.91,94.0,100.0,11.72,26/04/2021
LEBU,CL,-32.56640899996383,-82.03111181947008,54.41,92.0,28.0,9.37,26/04/2021
LEH,IN,34.65036341052276,81.57852214354232,36.54,32.0,0.0,1.34,26/04/2021
ALAUSI,EC,-1.9908140498018145,-78.78813602640022,51.04,92.0,96.0,0.4,26/04/2021
SAINT-AUGUSTIN,CA,56.84899392512593,-57.809817093690285,36.46,79.0,24.0,6.89,26/04/2021
NAMBUCCA HEADS,AU,-31.03750474031469,154.0595107948585,71.6,56.0,4.0,11.5,26/04/2021
OSSORA,RU,62.20116501717349,162.76519106208454,33.33,98.0,97.0,0.67,26/04/2021
NABERERA,TZ,-4.828987248149607,37.05450726377373,61.7,93.0,100.0,4.38,26/04/2021
SAINT LEONARD,CA,47.17184792753625,-67.95788824280315,46.99,99.0,100.0,6.46,26/04/2021
POCHUTLA,MX,15.483276101344224,-96.42609603335592,82.99,74.0,97.0,1.99,26/04/2021
AGADIR,MA,31.305846153146653,-10.549184753135998,59.0,88.0,67.0,3.44,26/04/2021
BAIE-SAINT-PAUL,CA,47.260142903247306,-70.50238778591338,41.0,100.0,100.0,2.3,26/04/2021
MEULABOH,ID,-1.774283419413214,93.16091663100153,84.22,65.0,91.0,2.28,26/04/2021
CLARKSBURG,US,38.7366254254914,-80.70895798860013,51.8,66.0,1.0,9.22,26/04/2021
PANGNIRTUNG,CA,66.41930297563493,-65.86598404011855,30.88,81.0,98.0,6.49,26/04/2021
MANIITSOQ,GL,65.68617793980765,-53.993836911350826,38.19,80.0,100.0,0.74,26/04/2021
KURUMKAN,RU,54.12208380759972,111.23012315981586,40.17,64.0,100.0,6.98,26/04/2021
PROVIDENIYA,RU,60.44017989573723,-176.7237794665957,41.0,60.0,0.0,6.71,26/04/2021
MANDALGOVI,MN,43.79136708138981,105.23790943348999,32.43,73.0,88.0,31.09,26/04/2021
SEVERO-KURILSK,RU,47.160432490725555,159.6736864953854,31.93,97.0,100.0,14.47,26/04/2021
SIBOLGA,ID,0.2682482668269759,97.85702487295566,85.15,63.0,87.0,2.71,26/04/2021
UST-OMCHUG,RU,60.867084323719176,150.40508582762652,14.54,53.0,11.0,2.75,26/04/2021
TAUTIRA,PF,-18.47909142638694,-142.2155190456777,82.4,69.0,20.0,4.61,26/04/2021
MUJIAYINGZI,CN,41.72902809724041,118.121668326029,62.87,42.0,100.0,13.24,26/04/2021
GOLSPIE,GB,58.41326817972582,-4.215041944357734,42.01,91.0,100.0,4.21,26/04/2021
TIGIL,RU,58.9717068868178,157.63398120476418,31.89,86.0,100.0,4.41,26/04/2021
SAO JOAO DA BARRA,BR,-30.286526096122014,-30.438450961638107,73.92,91.0,75.0,4.88,26/04/2021
VELKE MEZIRICI,CZ,49.296614800374364,16.08212396594466,34.0,100.0,5.0,8.01,26/04/2021
CAPE COAST,GH,0.9931306889769065,0.30399402918044327,79.84,86.0,92.0,6.93,26/04/2021
OSTROVNOY,RU,68.31566072967962,39.03625562398043,31.44,95.0,100.0,23.13,26/04/2021
GONBAD-E QABUS,IR,37.55698191330497,54.54459181009212,55.4,88.0,20.0,3.22,26/04/2021
FORT NELSON,CA,60.51783685679414,-125.0703371131149,55.4,18.0,75.0,4.61,26/04/2021
BELOKURIKHA,RU,51.579043564278834,85.0673617907422,46.98,54.0,100.0,3.47,26/04/2021
NOUADHIBOU,MR,20.802111503046618,-18.406014979669894,64.4,88.0,0.0,14.97,26/04/2021
AZARE,NG,11.98917926752302,10.545277520060715,81.59,43.0,100.0,6.22,26/04/2021
SALDANHA,ZA,-36.529048688525165,9.42792193976938,60.8,94.0,14.0,9.22,26/04/2021
ALBACETE,ES,39.1285186374161,-1.7614720847477505,50.0,93.0,40.0,17.27,26/04/2021
GORONTALO,ID,0.8472648238214253,121.44919159243896,88.88,58.0,100.0,7.27,26/04/2021
WASILLA,US,63.55379222853966,-150.9480912076566,60.8,25.0,1.0,0.69,26/04/2021
BELMONTE,BR,-17.27233695717505,-30.350417308627552,75.2,88.0,40.0,4.61,26/04/2021
SNASA,NO,62.8762642441168,12.820838271350388,26.98,97.0,75.0,1.68,26/04/2021
HURGHADA,EG,27.91831758539659,33.55190863883062,69.8,40.0,0.0,10.51,26/04/2021
ZNAMENSKOYE,RU,58.467956083162164,73.43894434199842,47.03,52.0,66.0,10.96,26/04/2021
FARE,PF,-12.742354476800177,-149.86985365755015,81.48,63.0,1.0,1.1,26/04/2021
OMARURU,NA,-20.899341420469796,15.882805196118422,61.79,42.0,6.0,2.46,26/04/2021
ATAR,MR,19.100201406421313,-11.46298355874995,76.6,21.0,0.0,5.61,26/04/2021
CARCASSONNE,FR,43.033489910333365,2.5452766508943903,55.99,67.0,0.0,14.97,26/04/2021
BOGUCHANY,RU,58.03117987090477,98.23606057198353,38.05,81.0,100.0,9.17,26/04/2021
PASNI,PK,25.223670126591113,63.74518597257695,80.94,74.0,80.0,6.93,26/04/2021
LOS LLANOS DE ARIDANE,ES,26.381621202089367,-20.825354472618905,66.2,72.0,75.0,5.75,26/04/2021
VILHENA,BR,-11.838887156770683,-58.120079832358186,67.75,99.0,100.0,3.42,26/04/2021
PALMER,US,55.849790296986704,-146.0417889827578,51.8,54.0,20.0,11.5,26/04/2021
PLAINVIEW,US,34.034003627558185,-100.70298113544864,55.4,62.0,20.0,8.05,26/04/2021
KUUSAMO,FI,66.67973634432714,28.57622410684655,28.4,93.0,90.0,5.75,26/04/2021
PAKA,MY,5.501386629877403,104.85978879559792,87.8,70.0,20.0,2.3,26/04/2021
EAST LONDON,ZA,-86.21571019854966,60.91799923162069,67.59,46.0,86.0,9.24,26/04/2021
SORONG,ID,-1.533147808094193,131.98982923352446,86.25,62.0,44.0,4.34,26/04/2021
BIRITIBA-MIRIM,BR,-23.744708854925012,-46.00162347815755,75.99,88.0,0.0,5.75,26/04/2021
HENTIES BAY,NA,-21.630481364675582,9.81727289880312,60.01,93.0,4.0,1.99,26/04/2021
BALABAC,PH,9.092103021863307,113.5429439641612,84.67,69.0,74.0,7.14,26/04/2021
HAMILTON,BM,30.913565129729438,-63.91119091376214,48.0,61.0,20.0,3.2,26/04/2021
UYUNI,BO,-21.00953232973716,-67.9520832181965,38.73,25.0,0.0,10.2,26/04/2021
LASA,CN,31.88508566883058,91.10020455654595,46.99,81.0,0.0,5.75,26/04/2021
LENINGRADSKIY,RU,69.65509208945345,178.34148009007959,29.62,84.0,100.0,1.81,26/04/2021
RATNAGIRI,IN,16.441710260757457,71.30002015063155,82.96,72.0,80.0,0.98,26/04/2021
NAMIBE,AO,-14.81987406475669,6.0111653136591725,75.25,69.0,0.0,10.09,26/04/2021
MAKAKILO CITY,US,7.751271123451264,-165.05212634860095,80.6,57.0,40.0,8.05,26/04/2021
NEMURO,JP,38.401892491578074,147.66989256567553,44.6,29.0,20.0,12.66,26/04/2021
SAINT ANTHONY,CA,56.709735451954444,-53.769670732584565,43.0,52.0,90.0,9.22,26/04/2021
SHELBURNE,CA,42.340304001487375,-65.7724989766428,34.0,75.0,39.0,12.55,26/04/2021
TOMATLAN,MX,19.4153400857341,-108.05492377450592,71.22,87.0,80.0,1.59,26/04/2021
COIHAIQUE,CL,-47.523779063359086,-70.48942643583884,45.0,97.0,79.0,5.66,26/04/2021
MAIRANA,BO,-18.662280993175028,-64.2150665564345,47.59,94.0,61.0,3.65,26/04/2021
KOMSOMOLSKIY,RU,74.72958110090985,174.04527479248355,69.8,35.0,1.0,4.61,26/04/2021
CAP-AUX-MEULES,CA,47.04402088157832,-61.27636273737629,39.2,87.0,100.0,10.36,26/04/2021
SAINT-PHILIPPE,RE,-71.60081371098393,74.44249722542533,77.0,73.0,0.0,17.27,26/04/2021
BLONIE,PL,52.256528878389595,20.602924578192617,35.01,83.0,85.0,4.9,26/04/2021
SHAOWU,CN,27.175281595494038,117.03081585371751,69.37,81.0,100.0,2.21,26/04/2021
BETHEL,US,49.45114441874302,-170.83479662057937,55.4,50.0,1.0,4.61,26/04/2021
DIKSON,RU,84.72307709535406,80.52412085760301,18.45,93.0,100.0,18.61,26/04/2021
BAMBOUS VIRIEUX,MU,-26.54817891816649,69.51684899658395,77.0,88.0,75.0,14.97,26/04/2021
KODIAK,US,51.92920854447328,-158.07381174028083,44.6,76.0,20.0,10.36,26/04/2021
TUATAPERE,NZ,-49.38552877973167,157.4641864213352,48.0,70.0,97.0,18.99,26/04/2021
TAGBAC,PH,13.7567233452366,120.11922206211916,89.6,62.0,75.0,3.44,26/04/2021
NUUK,GL,62.74381039064604,-51.91769488042668,35.6,93.0,75.0,5.75,26/04/2021
KHANDBARI,NP,29.04732067734447,86.82734915697885,85.66,13.0,1.0,1.23,26/04/2021
VARDO,NO,77.35126772336064,34.156840097742844,28.4,74.0,75.0,11.5,26/04/2021
KINDU,CD,-2.727340551559354,26.04890335935146,66.94,96.0,95.0,1.54,26/04/2021
VRYBURG,ZA,-26.560719374128105,25.022434426781913,56.43,34.0,97.0,3.47,26/04/2021
HILO,US,25.80360577245585,-148.95420183901587,73.4,78.0,90.0,3.44,26/04/2021
MEZEN,RU,69.23928831843929,47.07320625384386,40.59,94.0,100.0,5.3,26/04/2021
BELOHA,MG,-27.868325051192976,42.941524403244216,69.37,77.0,0.0,5.12,26/04/2021
TORBAY,CA,41.91631914806172,-48.064090602107434,41.0,65.0,1.0,11.5,26/04/2021
LUOHE,CN,33.3372533862856,113.93813102670765,62.42,61.0,100.0,3.36,26/04/2021
RIBEIRA GRANDE,PT,45.891415165784885,-38.21451426595453,59.0,72.0,20.0,12.66,26/04/2021
AKSU,CN,38.460664346101034,81.21795825205706,61.48,20.0,14.0,7.05,26/04/2021
HUARMEY,PE,-15.805916429036238,-91.53628023226811,67.33,85.0,8.0,8.97,26/04/2021
KORLA,CN,42.09961173099169,86.02229643380086,54.27,17.0,60.0,6.89,26/04/2021
SUNGAIPENUH,ID,-2.9683306084474004,99.92860153975715,74.55,74.0,100.0,0.38,26/04/2021
YABELO,ET,5.053899728630828,38.557425182820836,57.61,85.0,86.0,4.05,26/04/2021
PUERTO ESCONDIDO,MX,5.956109448876468,-101.69887443285415,82.4,78.0,40.0,4.61,26/04/2021
LOMPOC,US,21.200311174053088,-133.37906388506684,53.6,82.0,100.0,6.91,26/04/2021
ACARAU,BR,10.510850697062956,-38.71025318417571,77.25,82.0,7.0,8.5,26/04/2021
MOUNT ISA,AU,-22.375971609252808,140.2960881021628,87.8,35.0,86.0,13.8,26/04/2021
NIKOLAYEVKA,RU,47.31088656283152,38.620657482717235,38.64,71.0,50.0,9.93,26/04/2021
AUTUN,FR,47.06118844207031,4.2159473412404,53.6,50.0,0.0,6.91,26/04/2021
MANZHOULI,CN,48.80193326740182,117.25376068437224,63.46,33.0,67.0,20.87,26/04/2021
PISCO,PE,-16.92832323485527,-80.37003753517628,64.4,88.0,0.0,1.14,26/04/2021
UPERNAVIK,GL,76.4893880524138,-57.56559710017923,26.22,79.0,46.0,5.1,26/04/2021
ELKO,US,40.00226272333908,-116.34806879402126,39.2,87.0,90.0,4.61,26/04/2021
PINCHER CREEK,CA,49.29632510915941,-114.04900865668137,35.01,80.0,75.0,2.3,26/04/2021
KIAMA,AU,-37.492699119889494,155.4738209432044,69.01,42.0,0.0,5.75,26/04/2021
SAN PATRICIO,MX,3.9385979203868993,-113.53899610097567,72.0,88.0,75.0,11.5,26/04/2021
FAYA,TD,22.225424990677645,21.744088333058652,62.6,67.0,40.0,7.4,26/04/2021
GRAND-LAHOU,CI,1.6578712377849025,-4.817497650785962,78.37,84.0,99.0,4.59,26/04/2021
BENGKULU,ID,-10.136456446764196,98.78516192516271,84.22,67.0,42.0,4.88,26/04/2021
CAP MALHEUREUX,MU,-15.119082795982152,58.48046945279701,75.0,90.0,100.0,3.0,26/04/2021
RUSSELL,NZ,-32.98963268211998,175.18002368057105,62.6,88.0,1.0,5.93,26/04/2021
IRACOUBO,GF,11.807563276154742,-51.00374368938998,76.91,90.0,100.0,8.93,26/04/2021
SITKA,US,39.936960775333894,-144.22030294272997,55.4,47.0,1.0,5.75,26/04/2021
HERMANUS,ZA,-89.40547881494082,-7.028349565111736,59.0,92.0,1.0,3.0,26/04/2021
BOUSSO,TD,10.141997609636356,16.330944373316658,84.18,47.0,45.0,7.74,26/04/2021
BROKEN HILL,AU,-30.911908393147193,143.45830381023939,68.0,42.0,0.0,8.05,26/04/2021
VICTORIA,SC,-5.19076314339455,52.44843272587063,75.0,79.0,100.0,3.0,26/04/2021
VIEDMA,AR,-42.93874133846812,-61.60716457501294,54.41,76.0,31.0,10.31,26/04/2021
MORANT BAY,JM,17.910276255525115,-75.809779260711,78.8,78.0,20.0,2.3,26/04/2021
KUPINO,RU,54.822822554861226,77.6364127455092,49.1,42.0,97.0,15.61,26/04/2021
FLINDERS,AU,-30.157691763130757,131.0930359522644,71.01,42.0,0.0,5.75,26/04/2021
RICHARDS BAY,ZA,-33.84389169933516,39.79635853931083,63.93,92.0,3.0,3.6,26/04/2021
ESIL,KZ,52.30848374945466,66.14312160814009,47.07,79.0,100.0,10.94,26/04/2021
TASIILAQ,GL,68.02336591603819,-43.04120269017196,37.4,70.0,90.0,14.97,26/04/2021
NORMAN WELLS,CA,70.82345309264608,-125.46869339249658,32.0,43.0,40.0,11.5,26/04/2021
BORGARNES,IS,64.99693229248037,-21.90550205722872,37.0,88.0,88.0,3.0,26/04/2021
CHAPAIS,CA,53.6104070384568,-73.59241404688643,24.8,86.0,90.0,14.97,26/04/2021
KETCHIKAN,US,52.511510233249794,-134.9133006937284,55.4,50.0,1.0,5.75,26/04/2021
SINISCOLA,IT,40.49645207729725,10.10097831215495,46.4,100.0,0.0,2.3,26/04/2021
POUM,NC,-19.450241006262527,162.12738445142458,77.41,69.0,52.0,22.08,26/04/2021
CHICKASHA,US,35.100429357642824,-98.05724891858844,68.0,68.0,1.0,14.97,26/04/2021
GAT,LY,24.71498814086418,11.068853222114372,68.0,100.0,9.0,11.54,26/04/2021
INHAMBANE,MZ,-28.123206388557907,38.051913326904184,68.02,92.0,0.0,4.16,26/04/2021
OZIERI,IT,40.370009614745804,9.049115663518204,51.8,100.0,0.0,2.3,26/04/2021
POCONE,BR,-17.1628016586573,-56.43685774049585,68.61,96.0,100.0,5.32,26/04/2021
HAVRE-SAINT-PIERRE,CA,54.50292284981298,-62.17087131129808,33.8,86.0,1.0,9.22,26/04/2021
HANNIBAL,US,39.57947644471979,-91.72464380973203,59.0,44.0,1.0,8.05,26/04/2021
PLETTENBERG BAY,ZA,-51.03595362157522,24.408442870312697,64.36,69.0,100.0,2.17,26/04/2021
SAINT-JOSEPH,RE,-25.492308867169932,54.586708028670095,77.0,73.0,0.0,17.27,26/04/2021
GEORGETOWN,SH,-5.379019447124101,-16.339905434282432,87.8,74.0,20.0,5.75,26/04/2021
KHANDYGA,RU,62.747565537420854,135.66709222632446,31.3,89.0,100.0,6.85,26/04/2021
XICHANG,CN,28.826884403930453,101.21292919761495,72.32,39.0,66.0,3.96,26/04/2021
SHIRVAN,IR,37.43551021715083,58.050692981543484,57.79,66.0,69.0,1.3,26/04/2021
VOH,NC,-22.739355288221276,162.7852298685182,77.63,65.0,80.0,11.1,26/04/2021
SVETLAYA,RU,46.32001760123467,138.36799864747348,42.55,50.0,48.0,10.49,26/04/2021
POINT PEDRO,LK,10.233127881480907,80.4318288349241,83.48,66.0,34.0,7.56,26/04/2021
MATO VERDE,BR,-15.341171620349868,-43.001118704985174,77.2,54.0,80.0,2.68,26/04/2021
BURAYDAH,SA,27.423341944286893,42.77075893350999,73.4,53.0,20.0,4.61,26/04/2021
BAWKU,GH,10.950108047659645,-0.26160361187534953,86.9,49.0,94.0,11.54,26/04/2021
KAHULUI,US,30.456609857248353,-153.04373466236692,78.8,65.0,75.0,20.71,26/04/2021
LAVRENTIYA,RU,73.60477058635259,-167.29040141680608,33.21,93.0,96.0,0.36,26/04/2021
